PDB,CHAIN,ACCESSION,EC_NUMBER
7sgt,A,Q04538,3.4.21.91
7sgt,A,Q04538,3.6.1.15
7sgt,A,Q04538,3.6.4.13
7sgu,A,P0DTD1,2.1.1.56
7sgu,A,P0DTD1,2.1.1.57
7sgu,A,P0DTD1,2.7.7.48
7sgu,A,P0DTD1,2.7.7.50
7sgu,A,P0DTD1,3.1.13.-
7sgu,A,P0DTD1,3.4.19.12
7sgu,A,P0DTD1,3.4.22.-
7sgu,A,P0DTD1,3.4.22.69
7sgu,A,P0DTD1,3.6.4.12
7sgu,A,P0DTD1,3.6.4.13
7sgu,A,P0DTD1,4.6.1.-
7sgv,A,P0DTD1,2.1.1.56
7sgv,A,P0DTD1,2.1.1.57
7sgv,A,P0DTD1,2.7.7.48
7sgv,A,P0DTD1,2.7.7.50
7sgv,A,P0DTD1,3.1.13.-
7sgv,A,P0DTD1,3.4.19.12
7sgv,A,P0DTD1,3.4.22.-
7sgv,A,P0DTD1,3.4.22.69
7sgv,A,P0DTD1,3.6.4.12
7sgv,A,P0DTD1,3.6.4.13
7sgv,A,P0DTD1,4.6.1.-
7sgw,A,P0DTD1,2.1.1.56
7sgw,A,P0DTD1,2.1.1.57
7sgw,A,P0DTD1,2.7.7.48
7sgw,A,P0DTD1,2.7.7.50
7sgw,A,P0DTD1,3.1.13.-
7sgw,A,P0DTD1,3.4.19.12
7sgw,A,P0DTD1,3.4.22.-
7sgw,A,P0DTD1,3.4.22.69
7sgw,A,P0DTD1,3.6.4.12
7sgw,A,P0DTD1,3.6.4.13
7sgw,A,P0DTD1,4.6.1.-
7sh0,A,Q6P179,3.4.11.-
7sh0,B,Q6P179,3.4.11.-
7sh6,A,A0A0K8P6T7,3.1.1.101
7sh7,A,P0DTD1,2.1.1.56
7sh7,A,P0DTD1,2.1.1.57
7sh7,A,P0DTD1,2.7.7.48
7sh7,A,P0DTD1,2.7.7.50
7sh7,A,P0DTD1,3.1.13.-
7sh7,A,P0DTD1,3.4.19.12
7sh7,A,P0DTD1,3.4.22.-
7sh7,A,P0DTD1,3.4.22.69
7sh7,A,P0DTD1,3.6.4.12
7sh7,A,P0DTD1,3.6.4.13
7sh7,A,P0DTD1,4.6.1.-
7sh8,A,P0DTD1,2.1.1.56
7sh8,A,P0DTD1,2.1.1.57
7sh8,A,P0DTD1,2.7.7.48
7sh8,A,P0DTD1,2.7.7.50
7sh8,A,P0DTD1,3.1.13.-
7sh8,A,P0DTD1,3.4.19.12
7sh8,A,P0DTD1,3.4.22.-
7sh8,A,P0DTD1,3.4.22.69
7sh8,A,P0DTD1,3.6.4.12
7sh8,A,P0DTD1,3.6.4.13
7sh8,A,P0DTD1,4.6.1.-
7sh9,A,P0DTD1,2.1.1.56
7sh9,A,P0DTD1,2.1.1.57
7sh9,A,P0DTD1,2.7.7.48
7sh9,A,P0DTD1,2.7.7.50
7sh9,A,P0DTD1,3.1.13.-
7sh9,A,P0DTD1,3.4.19.12
7sh9,A,P0DTD1,3.4.22.-
7sh9,A,P0DTD1,3.4.22.69
7sh9,A,P0DTD1,3.6.4.12
7sh9,A,P0DTD1,3.6.4.13
7sh9,A,P0DTD1,4.6.1.-
7shb,A,P0DTD1,2.1.1.56
7shb,A,P0DTD1,2.1.1.57
7shb,A,P0DTD1,2.7.7.48
7shb,A,P0DTD1,2.7.7.50
7shb,A,P0DTD1,3.1.13.-
7shb,A,P0DTD1,3.4.19.12
7shb,A,P0DTD1,3.4.22.-
7shb,A,P0DTD1,3.4.22.69
7shb,A,P0DTD1,3.6.4.12
7shb,A,P0DTD1,3.6.4.13
7shb,A,P0DTD1,4.6.1.-
7shk,R,A0A1L8GNJ6,2.3.2.32
7shl,R,A0A1L8GNJ6,2.3.2.32
7shm,A,P33897,3.1.2.-
7shm,A,P33897,7.6.2.-
7shm,B,P33897,3.1.2.-
7shm,B,P33897,7.6.2.-
7shn,A,P33897,3.1.2.-
7shn,A,P33897,7.6.2.-
7shn,B,P33897,3.1.2.-
7shn,B,P33897,7.6.2.-
7shq,A,O00418,2.7.11.20
7shv,A,P15056,2.7.11.1
7shv,B,P15056,2.7.11.1
7si1,A,P00533,2.7.10.1
7si3,A,A0A6I8R0A5,7.2.2.8
7si6,A,A0A6I8R0A5,7.2.2.8
7si7,A,A0A6I8R0A5,7.2.2.8
7si9,A,P0DTD1,2.1.1.56
7si9,A,P0DTD1,2.1.1.57
7si9,A,P0DTD1,2.7.7.48
7si9,A,P0DTD1,2.7.7.50
7si9,A,P0DTD1,3.1.13.-
7si9,A,P0DTD1,3.4.19.12
7si9,A,P0DTD1,3.4.22.-
7si9,A,P0DTD1,3.4.22.69
7si9,A,P0DTD1,3.6.4.12
7si9,A,P0DTD1,3.6.4.13
7si9,A,P0DTD1,4.6.1.-
7sia,A,P12497,2.7.7.-
7sia,A,P12497,2.7.7.49
7sia,A,P12497,2.7.7.7
7sia,A,P12497,3.1.-.-
7sia,A,P12497,3.1.13.2
7sia,A,P12497,3.1.26.13
7sia,A,P12497,3.4.23.16
7sia,B,P12497,2.7.7.-
7sia,B,P12497,2.7.7.49
7sia,B,P12497,2.7.7.7
7sia,B,P12497,3.1.-.-
7sia,B,P12497,3.1.13.2
7sia,B,P12497,3.1.26.13
7sia,B,P12497,3.4.23.16
7sic,A,Q13315,2.7.11.1
7sic,B,Q13315,2.7.11.1
7sid,A,Q13315,2.7.11.1
7sid,C,Q13315,2.7.11.1
7sif,C,P03366,2.7.7.-
7sif,C,P03366,2.7.7.49
7sif,C,P03366,2.7.7.7
7sif,C,P03366,3.1.-.-
7sif,C,P03366,3.1.13.2
7sif,C,P03366,3.1.26.13
7sif,C,P03366,3.4.23.16
7sig,C,P03366,2.7.7.-
7sig,C,P03366,2.7.7.49
7sig,C,P03366,2.7.7.7
7sig,C,P03366,3.1.-.-
7sig,C,P03366,3.1.13.2
7sig,C,P03366,3.1.26.13
7sig,C,P03366,3.4.23.16
7sih,C,P03366,2.7.7.-
7sih,C,P03366,2.7.7.49
7sih,C,P03366,2.7.7.7
7sih,C,P03366,3.1.-.-
7sih,C,P03366,3.1.13.2
7sih,C,P03366,3.1.26.13
7sih,C,P03366,3.4.23.16
7sir,A,B7H1N2,6.3.2.9
7sit,A,P62483,1.1.1.-
7sit,C,P62483,1.1.1.-
7siu,A,Q92918,2.7.11.1
7siu,B,Q92918,2.7.11.1
7siy,A,P22681,2.3.2.27
7siy,Z,P43403,2.7.10.2
7siz,A,P62483,1.1.1.-
7siz,C,P62483,1.1.1.-
7sj2,A,Q5RGJ8,2.7.8.17
7sj2,B,Q5RGJ8,2.7.8.17
7sj3,A,P11802,2.7.11.22
7sj4,A,O75962,2.7.11.1
7sj4,B,P63000,3.6.5.2
7sj6,A,P00720,3.2.1.17
7sj6,B,P00720,3.2.1.17
7sj7,A,P68363,3.6.5.-
7sj7,C,P68363,3.6.5.-
7sj7,E,P68363,3.6.5.-
7sj7,J,P68363,3.6.5.-
7sj7,K,P68363,3.6.5.-
7sj7,L,P68363,3.6.5.-
7sj8,A,P68363,3.6.5.-
7sj8,C,P68363,3.6.5.-
7sj8,E,P68363,3.6.5.-
7sj8,J,P68363,3.6.5.-
7sj8,K,P68363,3.6.5.-
7sj8,L,P68363,3.6.5.-
7sj9,A,P68363,3.6.5.-
7sj9,C,P68363,3.6.5.-
7sj9,E,P68363,3.6.5.-
7sj9,J,P68363,3.6.5.-
7sj9,K,P68363,3.6.5.-
7sj9,L,P68363,3.6.5.-
7sja,A,P68363,3.6.5.-
7sja,C,P68363,3.6.5.-
7sja,E,P68363,3.6.5.-
7sja,J,P68363,3.6.5.-
7sja,K,P68363,3.6.5.-
7sja,L,P68363,3.6.5.-
7sjn,A,Q92743,3.4.21.-
7sjn,B,Q92743,3.4.21.-
7sjn,C,Q92743,3.4.21.-
7sjo,A,Q92743,3.4.21.-
7sjo,B,Q92743,3.4.21.-
7sjo,C,Q92743,3.4.21.-
7sjp,E,Q92743,3.4.21.-
7sjr,A,A0QTR9,5.6.2.4
7sjr,B,I7FZ56,5.6.2.4
7sjx,A,P03366,2.7.7.-
7sjx,A,P03366,2.7.7.49
7sjx,A,P03366,2.7.7.7
7sjx,A,P03366,3.1.-.-
7sjx,A,P03366,3.1.13.2
7sjx,A,P03366,3.1.26.13
7sjx,A,P03366,3.4.23.16
7sjx,B,P03366,2.7.7.-
7sjx,B,P03366,2.7.7.49
7sjx,B,P03366,2.7.7.7
7sjx,B,P03366,3.1.-.-
7sjx,B,P03366,3.1.13.2
7sjx,B,P03366,3.1.26.13
7sjx,B,P03366,3.4.23.16
7sjz,A,Q7SID2,4.2.1.84
7sjz,B,Q7SID3,4.2.1.84
7skb,A,V5VGT0,1.2.1.11
7skb,B,V5VGT0,1.2.1.11
7skb,C,V5VGT0,1.2.1.11
7skb,D,V5VGT0,1.2.1.11
7ski,A,P04977,2.4.2.-
7ski,B,P04977,2.4.2.-
7skk,A,P04977,2.4.2.-
7skk,B,P04977,2.4.2.-
7skk,C,P04977,2.4.2.-
7skk,D,P04977,2.4.2.-
7skl,A,P81177,3.4.24.29
7skl,C,P81177,3.4.24.29
7skm,A,P81177,3.4.24.29
7skm,C,P81177,3.4.24.29
7skq,A,Q0QDZ2,2.7.7.50
7skq,A,Q0QDZ2,3.4.19.12
7skq,B,Q0QDZ2,2.7.7.50
7skq,B,Q0QDZ2,3.4.19.12
7skr,A,Q0QDZ2,2.7.7.50
7skr,A,Q0QDZ2,3.4.19.12
7skw,A,P00698,3.2.1.17
7skx,C,P06873,3.4.21.64
7sky,A,P04977,2.4.2.-
7sky,B,P04977,2.4.2.-
7sky,C,P04977,2.4.2.-
7sky,D,P04977,2.4.2.-
7sl1,A,P15208,2.7.10.1
7sl1,B,P15208,2.7.10.1
7sl2,A,P15208,2.7.10.1
7sl2,B,P15208,2.7.10.1
7sl3,A,P15208,2.7.10.1
7sl3,B,P15208,2.7.10.1
7sl4,A,P15208,2.7.10.1
7sl4,B,P15208,2.7.10.1
7sl6,A,P15208,2.7.10.1
7sl6,B,P15208,2.7.10.1
7sl7,A,P15208,2.7.10.1
7sl7,B,P15208,2.7.10.1
7slh,A,P02185,1.11.1.-
7slh,A,P02185,1.7.-.-
7sli,A,P02185,1.11.1.-
7sli,A,P02185,1.7.-.-
7slp,A,Q7L2J0,2.1.1.-
7slq,A,Q7L2J0,2.1.1.-
7slr,A,P04585,2.7.7.-
7slr,A,P04585,2.7.7.49
7slr,A,P04585,2.7.7.7
7slr,A,P04585,3.1.-.-
7slr,A,P04585,3.1.13.2
7slr,A,P04585,3.1.26.13
7slr,A,P04585,3.4.23.16
7slr,B,P04585,2.7.7.-
7slr,B,P04585,2.7.7.49
7slr,B,P04585,2.7.7.7
7slr,B,P04585,3.1.-.-
7slr,B,P04585,3.1.13.2
7slr,B,P04585,3.1.26.13
7slr,B,P04585,3.4.23.16
7sls,A,P04585,2.7.7.-
7sls,A,P04585,2.7.7.49
7sls,A,P04585,2.7.7.7
7sls,A,P04585,3.1.-.-
7sls,A,P04585,3.1.13.2
7sls,A,P04585,3.1.26.13
7sls,A,P04585,3.4.23.16
7sls,B,P04585,2.7.7.-
7sls,B,P04585,2.7.7.49
7sls,B,P04585,2.7.7.7
7sls,B,P04585,3.1.-.-
7sls,B,P04585,3.1.13.2
7sls,B,P04585,3.1.26.13
7sls,B,P04585,3.4.23.16
7slv,A,O95497,3.5.1.92
7slx,A,O95497,3.5.1.92
7sly,A,O95497,3.5.1.92
7sme,B,Q13547,3.5.1.-
7sme,B,Q13547,3.5.1.98
7smk,A,O85040,4.1.1.39
7smk,B,P45686,4.1.1.39
7smk,C,O85042,4.2.1.1
7sml,A,A0A9X9ZA20,1.3.2.3
7smv,A,Q98VG9,2.1.1.57
7smv,A,Q98VG9,2.7.7.48
7smv,A,Q98VG9,2.7.7.50
7smv,A,Q98VG9,3.1.13.-
7smv,A,Q98VG9,3.4.19.12
7smv,A,Q98VG9,3.4.22.-
7smv,A,Q98VG9,3.6.4.12
7smv,A,Q98VG9,3.6.4.13
7smv,A,Q98VG9,4.6.1.-
7smv,B,Q98VG9,2.1.1.57
7smv,B,Q98VG9,2.7.7.48
7smv,B,Q98VG9,2.7.7.50
7smv,B,Q98VG9,3.1.13.-
7smv,B,Q98VG9,3.4.19.12
7smv,B,Q98VG9,3.4.22.-
7smv,B,Q98VG9,3.6.4.12
7smv,B,Q98VG9,3.6.4.13
7smv,B,Q98VG9,4.6.1.-
7sn0,A,Q9BYF1,3.4.17.-
7sn0,A,Q9BYF1,3.4.17.23
7sn0,B,Q9BYF1,3.4.17.-
7sn0,B,Q9BYF1,3.4.17.23
7sn8,K,Q9VAH9,3.1.27.-
7sna,A,Q98VG9,2.1.1.57
7sna,A,Q98VG9,2.7.7.48
7sna,A,Q98VG9,2.7.7.50
7sna,A,Q98VG9,3.1.13.-
7sna,A,Q98VG9,3.4.19.12
7sna,A,Q98VG9,3.4.22.-
7sna,A,Q98VG9,3.6.4.12
7sna,A,Q98VG9,3.6.4.13
7sna,A,Q98VG9,4.6.1.-
7sna,B,Q98VG9,2.1.1.57
7sna,B,Q98VG9,2.7.7.48
7sna,B,Q98VG9,2.7.7.50
7sna,B,Q98VG9,3.1.13.-
7sna,B,Q98VG9,3.4.19.12
7sna,B,Q98VG9,3.4.22.-
7sna,B,Q98VG9,3.6.4.12
7sna,B,Q98VG9,3.6.4.13
7sna,B,Q98VG9,4.6.1.-
7sne,A,P04977,2.4.2.-
7sne,B,P04977,2.4.2.-
7sne,C,P04977,2.4.2.-
7sne,D,P04977,2.4.2.-
7snf,A,P11413,1.-.-.-
7snf,A,P11413,1.1.1.49
7snf,B,P11413,1.-.-.-
7snf,B,P11413,1.1.1.49
7sng,A,P11413,1.-.-.-
7sng,A,P11413,1.1.1.49
7sng,B,P11413,1.-.-.-
7sng,B,P11413,1.1.1.49
7sng,C,P11413,1.-.-.-
7sng,C,P11413,1.1.1.49
7sng,D,P11413,1.-.-.-
7sng,D,P11413,1.1.1.49
7snh,A,P11413,1.-.-.-
7snh,A,P11413,1.1.1.49
7snh,B,P11413,1.-.-.-
7snh,B,P11413,1.1.1.49
7snh,C,P11413,1.-.-.-
7snh,C,P11413,1.1.1.49
7snh,D,P11413,1.-.-.-
7snh,D,P11413,1.1.1.49
7sni,A,P11413,1.-.-.-
7sni,A,P11413,1.1.1.49
7sni,B,P11413,1.-.-.-
7sni,B,P11413,1.1.1.49
7sni,C,P11413,1.-.-.-
7sni,C,P11413,1.1.1.49
7sni,D,P11413,1.-.-.-
7sni,D,P11413,1.1.1.49
7snj,A,B5CYA4,3.1.6.-
7snk,A,B5CYA5,3.2.1.51
7snl,A,P03366,2.7.7.-
7snl,A,P03366,2.7.7.49
7snl,A,P03366,2.7.7.7
7snl,A,P03366,3.1.-.-
7snl,A,P03366,3.1.13.2
7snl,A,P03366,3.1.26.13
7snl,A,P03366,3.4.23.16
7snm,A,Q603T8,1.14.13.70
7snm,B,Q603T8,1.14.13.70
7snm,C,Q603T8,1.14.13.70
7snm,D,Q603T8,1.14.13.70
7snn,A,P03366,2.7.7.-
7snn,A,P03366,2.7.7.49
7snn,A,P03366,2.7.7.7
7snn,A,P03366,3.1.-.-
7snn,A,P03366,3.1.13.2
7snn,A,P03366,3.1.26.13
7snn,A,P03366,3.4.23.16
7sno,A,B5CYA4,3.1.6.-
7snp,A,P03366,2.7.7.-
7snp,A,P03366,2.7.7.49
7snp,A,P03366,2.7.7.7
7snp,A,P03366,3.1.-.-
7snp,A,P03366,3.1.13.2
7snp,A,P03366,3.1.26.13
7snp,A,P03366,3.4.23.16
7snp,B,P03366,2.7.7.-
7snp,B,P03366,2.7.7.49
7snp,B,P03366,2.7.7.7
7snp,B,P03366,3.1.-.-
7snp,B,P03366,3.1.13.2
7snp,B,P03366,3.1.26.13
7snp,B,P03366,3.4.23.16
7snq,A,P03366,2.7.7.-
7snq,A,P03366,2.7.7.49
7snq,A,P03366,2.7.7.7
7snq,A,P03366,3.1.-.-
7snq,A,P03366,3.1.13.2
7snq,A,P03366,3.1.26.13
7snq,A,P03366,3.4.23.16
7snq,B,P03366,2.7.7.-
7snq,B,P03366,2.7.7.49
7snq,B,P03366,2.7.7.7
7snq,B,P03366,3.1.-.-
7snq,B,P03366,3.1.13.2
7snq,B,P03366,3.1.26.13
7snq,B,P03366,3.4.23.16
7snq,C,P03366,2.7.7.-
7snq,C,P03366,2.7.7.49
7snq,C,P03366,2.7.7.7
7snq,C,P03366,3.1.-.-
7snq,C,P03366,3.1.13.2
7snq,C,P03366,3.1.26.13
7snq,C,P03366,3.4.23.16
7snq,D,P03366,2.7.7.-
7snq,D,P03366,2.7.7.49
7snq,D,P03366,2.7.7.7
7snq,D,P03366,3.1.-.-
7snq,D,P03366,3.1.13.2
7snq,D,P03366,3.1.26.13
7snq,D,P03366,3.4.23.16
7snq,E,P03366,2.7.7.-
7snq,E,P03366,2.7.7.49
7snq,E,P03366,2.7.7.7
7snq,E,P03366,3.1.-.-
7snq,E,P03366,3.1.13.2
7snq,E,P03366,3.1.26.13
7snq,E,P03366,3.4.23.16
7snq,F,P03366,2.7.7.-
7snq,F,P03366,2.7.7.49
7snq,F,P03366,2.7.7.7
7snq,F,P03366,3.1.-.-
7snq,F,P03366,3.1.13.2
7snq,F,P03366,3.1.26.13
7snq,F,P03366,3.4.23.16
7snq,G,P03366,2.7.7.-
7snq,G,P03366,2.7.7.49
7snq,G,P03366,2.7.7.7
7snq,G,P03366,3.1.-.-
7snq,G,P03366,3.1.13.2
7snq,G,P03366,3.1.26.13
7snq,G,P03366,3.4.23.16
7snq,H,P03366,2.7.7.-
7snq,H,P03366,2.7.7.49
7snq,H,P03366,2.7.7.7
7snq,H,P03366,3.1.-.-
7snq,H,P03366,3.1.13.2
7snq,H,P03366,3.1.26.13
7snq,H,P03366,3.4.23.16
7snq,I,P03366,2.7.7.-
7snq,I,P03366,2.7.7.49
7snq,I,P03366,2.7.7.7
7snq,I,P03366,3.1.-.-
7snq,I,P03366,3.1.13.2
7snq,I,P03366,3.1.26.13
7snq,I,P03366,3.4.23.16
7snq,J,P03366,2.7.7.-
7snq,J,P03366,2.7.7.49
7snq,J,P03366,2.7.7.7
7snq,J,P03366,3.1.-.-
7snq,J,P03366,3.1.13.2
7snq,J,P03366,3.1.26.13
7snq,J,P03366,3.4.23.16
7snq,K,P03366,2.7.7.-
7snq,K,P03366,2.7.7.49
7snq,K,P03366,2.7.7.7
7snq,K,P03366,3.1.-.-
7snq,K,P03366,3.1.13.2
7snq,K,P03366,3.1.26.13
7snq,K,P03366,3.4.23.16
7snq,L,P03366,2.7.7.-
7snq,L,P03366,2.7.7.49
7snq,L,P03366,2.7.7.7
7snq,L,P03366,3.1.-.-
7snq,L,P03366,3.1.13.2
7snq,L,P03366,3.1.26.13
7snq,L,P03366,3.4.23.16
7snr,A,Q9GV45,1.13.12.13
7snr,B,Q9GV45,1.13.12.13
7sns,A,Q9GV45,1.13.12.13
7sns,B,Q9GV45,1.13.12.13
7sns,C,Q9GV45,1.13.12.13
7sns,D,Q9GV45,1.13.12.13
7snt,A,Q9GV45,1.13.12.13
7snt,B,Q9GV45,1.13.12.13
7snv,A,O85040,4.1.1.39
7snv,B,P45686,4.1.1.39
7snv,C,O85042,4.2.1.1
7snw,A,Q9GV45,1.13.12.13
7snw,B,Q9GV45,1.13.12.13
7snw,C,Q9GV45,1.13.12.13
7snx,A,Q9GV45,1.13.12.13
7snx,B,Q9GV45,1.13.12.13
7sny,A,Q9GV45,1.13.12.13
7snz,A,P03366,2.7.7.-
7snz,A,P03366,2.7.7.49
7snz,A,P03366,2.7.7.7
7snz,A,P03366,3.1.-.-
7snz,A,P03366,3.1.13.2
7snz,A,P03366,3.1.26.13
7snz,A,P03366,3.4.23.16
7snz,B,P03366,2.7.7.-
7snz,B,P03366,2.7.7.49
7snz,B,P03366,2.7.7.7
7snz,B,P03366,3.1.-.-
7snz,B,P03366,3.1.13.2
7snz,B,P03366,3.1.26.13
7snz,B,P03366,3.4.23.16
7so1,A,P03366,2.7.7.-
7so1,A,P03366,2.7.7.49
7so1,A,P03366,2.7.7.7
7so1,A,P03366,3.1.-.-
7so1,A,P03366,3.1.13.2
7so1,A,P03366,3.1.26.13
7so1,A,P03366,3.4.23.16
7so1,B,P03366,2.7.7.-
7so1,B,P03366,2.7.7.49
7so1,B,P03366,2.7.7.7
7so1,B,P03366,3.1.-.-
7so1,B,P03366,3.1.13.2
7so1,B,P03366,3.1.26.13
7so1,B,P03366,3.4.23.16
7so2,A,P03366,2.7.7.-
7so2,A,P03366,2.7.7.49
7so2,A,P03366,2.7.7.7
7so2,A,P03366,3.1.-.-
7so2,A,P03366,3.1.13.2
7so2,A,P03366,3.1.26.13
7so2,A,P03366,3.4.23.16
7so2,B,P03366,2.7.7.-
7so2,B,P03366,2.7.7.49
7so2,B,P03366,2.7.7.7
7so2,B,P03366,3.1.-.-
7so2,B,P03366,3.1.13.2
7so2,B,P03366,3.1.26.13
7so2,B,P03366,3.4.23.16
7so3,A,P03366,2.7.7.-
7so3,A,P03366,2.7.7.49
7so3,A,P03366,2.7.7.7
7so3,A,P03366,3.1.-.-
7so3,A,P03366,3.1.13.2
7so3,A,P03366,3.1.26.13
7so3,A,P03366,3.4.23.16
7so3,B,P03366,2.7.7.-
7so3,B,P03366,2.7.7.49
7so3,B,P03366,2.7.7.7
7so3,B,P03366,3.1.-.-
7so3,B,P03366,3.1.13.2
7so3,B,P03366,3.1.26.13
7so3,B,P03366,3.4.23.16
7so4,A,P03366,2.7.7.-
7so4,A,P03366,2.7.7.49
7so4,A,P03366,2.7.7.7
7so4,A,P03366,3.1.-.-
7so4,A,P03366,3.1.13.2
7so4,A,P03366,3.1.26.13
7so4,A,P03366,3.4.23.16
7so4,B,P03366,2.7.7.-
7so4,B,P03366,2.7.7.49
7so4,B,P03366,2.7.7.7
7so4,B,P03366,3.1.-.-
7so4,B,P03366,3.1.13.2
7so4,B,P03366,3.1.26.13
7so4,B,P03366,3.4.23.16
7so5,A,P18177,2.4.1.-
7so5,A,P18177,3.4.22.-
7so6,A,P03366,2.7.7.-
7so6,A,P03366,2.7.7.49
7so6,A,P03366,2.7.7.7
7so6,A,P03366,3.1.-.-
7so6,A,P03366,3.1.13.2
7so6,A,P03366,3.1.26.13
7so6,A,P03366,3.4.23.16
7so6,B,P03366,2.7.7.-
7so6,B,P03366,2.7.7.49
7so6,B,P03366,2.7.7.7
7so6,B,P03366,3.1.-.-
7so6,B,P03366,3.1.13.2
7so6,B,P03366,3.1.26.13
7so6,B,P03366,3.4.23.16
7so7,A,P18177,2.4.1.-
7so7,A,P18177,3.4.22.-
7so7,B,P18177,2.4.1.-
7so7,B,P18177,3.4.22.-
7soi,A,P08170,1.13.11.12
7soi,B,P08170,1.13.11.12
7soj,A,P08170,1.13.11.12
7soj,B,P08170,1.13.11.12
7sok,A,P40261,2.1.1.1
7sok,B,P40261,2.1.1.1
7sok,C,P40261,2.1.1.1
7sok,D,P40261,2.1.1.1
7sol,A,A0AVT1,6.2.1.45
7sol,C,A0AVT1,6.2.1.45
7som,AB,P09204,3.6.5.-
7som,AD,P09204,3.6.5.-
7som,AF,P09204,3.6.5.-
7som,AH,P09204,3.6.5.-
7som,AJ,P09204,3.6.5.-
7som,AL,P09204,3.6.5.-
7som,BB,P09204,3.6.5.-
7som,BD,P09204,3.6.5.-
7som,BF,P09204,3.6.5.-
7som,BH,P09204,3.6.5.-
7som,BJ,P09204,3.6.5.-
7som,BL,P09204,3.6.5.-
7som,CB,P09204,3.6.5.-
7som,CD,P09204,3.6.5.-
7som,CF,P09204,3.6.5.-
7som,CH,P09204,3.6.5.-
7som,CJ,P09204,3.6.5.-
7som,DB,P09204,3.6.5.-
7som,DD,P09204,3.6.5.-
7som,DF,P09204,3.6.5.-
7som,DH,P09204,3.6.5.-
7som,DJ,P09204,3.6.5.-
7som,DL,P09204,3.6.5.-
7som,EB,P09204,3.6.5.-
7som,ED,P09204,3.6.5.-
7som,EF,P09204,3.6.5.-
7som,EH,P09204,3.6.5.-
7som,EJ,P09204,3.6.5.-
7som,EL,P09204,3.6.5.-
7som,FB,P09204,3.6.5.-
7som,FD,P09204,3.6.5.-
7som,FF,P09204,3.6.5.-
7som,FH,P09204,3.6.5.-
7som,FJ,P09204,3.6.5.-
7som,FL,P09204,3.6.5.-
7som,GD,P09204,3.6.5.-
7som,GF,P09204,3.6.5.-
7som,GH,P09204,3.6.5.-
7som,GJ,P09204,3.6.5.-
7som,GL,P09204,3.6.5.-
7som,HD,P09204,3.6.5.-
7som,HF,P09204,3.6.5.-
7som,HH,P09204,3.6.5.-
7som,HJ,P09204,3.6.5.-
7som,HL,P09204,3.6.5.-
7som,ID,P09204,3.6.5.-
7som,IF,P09204,3.6.5.-
7som,IH,P09204,3.6.5.-
7som,IJ,P09204,3.6.5.-
7som,IL,P09204,3.6.5.-
7som,JB,P09204,3.6.5.-
7som,JD,P09204,3.6.5.-
7som,JF,P09204,3.6.5.-
7som,JH,P09204,3.6.5.-
7som,JJ,P09204,3.6.5.-
7som,JL,P09204,3.6.5.-
7som,KB,P09204,3.6.5.-
7som,KD,P09204,3.6.5.-
7som,KF,P09204,3.6.5.-
7som,KH,P09204,3.6.5.-
7som,KJ,P09204,3.6.5.-
7som,KL,P09204,3.6.5.-
7som,LB,P09204,3.6.5.-
7som,LD,P09204,3.6.5.-
7som,LF,P09204,3.6.5.-
7som,LH,P09204,3.6.5.-
7som,LJ,P09204,3.6.5.-
7som,LL,P09204,3.6.5.-
7som,MB,P09204,3.6.5.-
7som,MD,P09204,3.6.5.-
7som,MF,P09204,3.6.5.-
7som,MH,P09204,3.6.5.-
7som,MJ,P09204,3.6.5.-
7som,ML,P09204,3.6.5.-
7soy,C,P67775,3.1.3.16
7soy,P,Q9Y570,3.1.1.89
7sp3,A,P0A776,3.6.1.-
7spe,A,P02185,1.11.1.-
7spe,A,P02185,1.7.-.-
7spf,A,P02185,1.11.1.-
7spf,A,P02185,1.7.-.-
7spg,A,P02185,1.11.1.-
7spg,A,P02185,1.7.-.-
7sph,A,P02185,1.11.1.-
7sph,A,P02185,1.7.-.-
7spr,A,A8PUY1,3.1.1.-
7spy,A,A8B3G9,3.6.-.-
7spz,A,A8B3G9,3.6.-.-
7spz,B,A8B3G9,3.6.-.-
7sq0,A,A8B3G9,3.6.-.-
7sq0,B,A8B3G9,3.6.-.-
7sq2,A,P21279,3.6.5.-
7sq2,B,Q01970,3.1.4.11
7sqc,1A,A0A2K3D425,2.7.4.3
7sqc,1B,A0A2K3D425,2.7.4.3
7sqc,1C,A0A2K3D425,2.7.4.3
7sqc,1D,A0A2K3D425,2.7.4.3
7sqc,6A,Q9XGU3,3.1.3.16
7sqc,6B,Q9XGU3,3.1.3.16
7sqc,6C,Q9XGU3,3.1.3.16
7sqc,6D,Q9XGU3,3.1.3.16
7sqc,C0,Q6J4H1,2.7.4.3
7sqc,C1,Q6J4H1,2.7.4.3
7sqc,C2,Q6J4H1,2.7.4.3
7sqc,C3,Q6J4H1,2.7.4.3
7sqc,C4,Q6J4H1,2.7.4.3
7sqc,NB,P09204,3.6.5.-
7sqc,ND,P09204,3.6.5.-
7sqc,NF,P09204,3.6.5.-
7sqc,NH,P09204,3.6.5.-
7sqc,NJ,P09204,3.6.5.-
7sqc,NL,P09204,3.6.5.-
7sqc,NN,P09204,3.6.5.-
7sqc,OD,P09204,3.6.5.-
7sqc,OF,P09204,3.6.5.-
7sqc,OH,P09204,3.6.5.-
7sqc,OJ,P09204,3.6.5.-
7sqc,OL,P09204,3.6.5.-
7sqc,ON,P09204,3.6.5.-
7sqc,OP,P09204,3.6.5.-
7sqc,PD,P09204,3.6.5.-
